,id,name,latitude,longitude,primary_category,popularity_rating,verified,tip_count,price_tier,likes,rating,delivery_available,menu_available,specials_count,photos_count,listed,twitter_available,instagram_available,facebook_available,url_available,outdoor seating,wi-fi,reservations,atm,tvs,private room,music,coat check,breakfast,dessert,happy hour,lunch,brunch,dinner,beer,wine,full bar,cocktails,street parking,public lot,live music,jukebox,bar service,bar snacks,tasting menu,valet parking,byo,parking,table service,price
0,49e749fbf964a52086641fe3,The Gage,41.88120182139490,-87.62448118100150,Gastropub,2.0,1,336,3,879,9.0,1,1,0,981,843,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
1,55669b9b498ee34e5249ea61,Cindy's,41.881695385518700,-87.62460021795310,New American Restaurant,23.0,1,137,3,617,9.2,0,1,0,920,1012,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
2,556b5527498e3bb54be5ff78,Cherry Circle Room,41.88199386897250,-87.62504971026540,American Restaurant,,1,42,3,178,8.7,0,1,0,169,240,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
3,53d6f406498e54a8e8dfb7c4,Acanto,41.8814954607666,-87.62449984215200,Italian Restaurant,,0,22,4,76,8.2,1,1,0,90,63,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4
4,4ac7958cf964a52036b820e3,Terzo Piano,41.88044303189610,-87.62243135845140,Italian Restaurant,,1,51,3,67,7.9,0,1,0,238,106,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3
5,551192b1498e8695352d33e6,Remington's,41.88262817996860,-87.62460789822560,American Restaurant,,1,25,4,89,8.1,0,1,0,88,22,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4
6,4aa986ccf964a520115420e3,Italian Village,41.88092612690440,-87.63024961104460,Italian Restaurant,,1,85,3,227,8.1,1,1,0,284,129,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
7,4b87e738f964a5200ad231e3,La Cantina Enoteca,41.880364,-87.630113,Italian Restaurant,,0,3,3,6,7.8,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
8,4b217e27f964a520be3c24e3,Rosebud Prime,41.881594207058,-87.62952595071420,Steakhouse,,1,40,4,70,7.3,1,1,0,85,27,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,4
9,40b28c80f964a52035fb1ee3,Vivere,41.88116970242480,-87.63018114921610,Italian Restaurant,,0,18,4,12,7.2,1,1,0,24,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
10,57b4829e498e835ea9052845,Danke,41.87940772110160,-87.63050507479740,New American Restaurant,,0,2,3,11,6.8,0,0,0,13,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
11,57b47a10498ec361b714dba8,Brown Bag Seafood Co.,41.87948369366400,-87.63060285204470,Seafood Restaurant,,0,6,3,20,6.5,0,0,0,15,3,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
12,57cdd4f1498e735d5bb57d74,Elske,41.88451225684420,-87.66095684439920,New American Restaurant,,0,20,3,24,8.6,0,0,0,79,236,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
13,587049ab4f417a4e33681969,Eden,41.88530693017770,-87.671171341429,New American Restaurant,,0,10,3,39,8.7,0,1,0,39,52,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,3
14,56258c49498ee48ae176e5db,Swift & Sons,41.886911961957200,-87.65222401149260,Steakhouse,,0,30,3,49,9.0,1,1,0,126,189,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,3
15,4ff31952e4b0af32b659d571,Two,41.891199018804700,-87.65598134229590,New American Restaurant,,0,46,3,115,8.4,0,1,0,120,141,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3
16,4c0bd6246071a593cfcee132,Next,41.88667369925550,-87.65201483879760,Molecular Gastronomy Restaurant,,0,56,4,67,8.6,0,1,0,655,550,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4
