,id,name,latitude,longitude,primary_category,popularity_rating
60,582dcab7a8b55d58005657c3,True Food Kitchen,41.893905889211425,-87.62856245040894,New American Restaurant,
61,49cd0720f964a520aa591fe3,HUB 51,41.88993046415249,-87.6298612617366,New American Restaurant,
62,50f58653e4b0e1058164dc7e,Siena Tavern,41.88888086,-87.63027173,Italian Restaurant,7
63,4c924f7f238c6dcb6467c755,Chicago Cut Steakhouse,41.88797208145695,-87.63290941161584,Steakhouse,
64,4b833013f964a5207afc30e3,Kinzie Chophouse,41.88929,-87.634282,Steakhouse,
65,56a947d3498e3983fb4d8791,Il Porcellino,41.8899803381675,-87.63038936429115,Italian Restaurant,
66,4d2ead246fc6f04d25848345,Hubbard Inn,41.89000043258501,-87.63158068701091,American Restaurant,
67,5441bc8b498e70910fa11726,The Kitchen,41.8879014,-87.6313118,American Restaurant,
68,4a737056f964a52070dc1fe3,ZED451,41.896023,-87.630916,Steakhouse,
69,5e14e8f1a10b9200083472de,RPM Seafood,41.88826128086945,-87.63081550598145,Seafood Restaurant,
70,4b53b49cf964a5208ca827e3,Ruth's Chris Steak House,41.8901981146158,-87.62942612171173,Steakhouse,
71,41fd7500f964a520501f1fe3,Harry Caray's Italian Steakhouse,41.889071055749454,-87.6294590845703,Steakhouse,
72,53bdc413498e161627668129,River Roast,41.88722166383858,-87.63208666502986,Restaurant,
73,4e5e2fd5922ec2c0701c4218,Cantina Laredo,41.89113726046685,-87.62804501770825,Mexican Restaurant,
74,59906d516bd36b43bfb267d3,Portsmith,41.894199219741985,-87.62815275787419,Seafood Restaurant,
75,4a95690cf964a5201c2320e3,Fleming's Prime Steakhouse & Wine Bar,41.892239978753175,-87.62712604370037,Steakhouse,
76,56cf9a91498e63498992d215,Imperial Lamian,41.89017,-87.62815,Dumpling Restaurant,
77,49ebe3cbf964a5203f671fe3,The Bristol,41.921222830216244,-87.67775783701445,New American Restaurant,
78,4b3bfe1af964a520f57f25e3,Le Bouchon,41.9176517871679,-87.6775856419284,French Restaurant,
79,56b2b238498ec9031ecf5c13,Asian Cajun,41.926061040342056,-87.66843413980497,Seafood Restaurant,
80,5a03adb3b399f751314fa8c8,Café Robey,41.91056703001089,-87.67799172659353,French Restaurant,
81,5483b98e498ed2ba51fe0caa,Izakaya Mita,41.91763,-87.67792,Japanese Restaurant,
82,5d670d124f6b66000873599c,Soul Crab,41.915904,-87.68762,Seafood Restaurant,
83,54296aa7498e36575ee9a8b6,Momotaro,41.8856673631326,-87.64860372619373,Japanese Restaurant,
